dest_ip,dest_port,metadata_comment
77.85.168.253,4145,socks4
77.238.79.111,5678,socks4
103.210.161.8,1080,socks5
118.99.98.125,8080,http
45.74.31.47,4940,socks5
177.23.148.2,1088,socks5
91.223.52.141,5678,socks4
45.74.31.30,28042,socks5
95.140.118.34,1080,socks4
91.202.195.221,5678,socks4
191.223.220.23,1080,socks5
80.78.78.106,65530,socks4
171.241.154.156,5005,socks5
45.74.31.30,4328,socks5
102.208.228.90,8080,http
150.241.70.126,1080,socks4
45.74.31.30,8130,socks5
190.104.35.30,1080,socks5
103.149.177.29,1080,socks5
45.74.31.30,9050,socks5
1.15.53.214,8888,http
113.45.195.147,3128,http
88.220.133.87,4153,socks4
162.4.78.53,8080,http
45.74.31.30,7976,socks5
94.136.185.35,30913,http
45.74.31.30,9609,socks5
160.22.17.4,9988,socks5
45.74.31.30,7764,socks5
123.0.19.210,10000,http
45.74.31.30,7248,socks5
115.85.88.18,8080,http
72.56.106.48,443,socks5
45.74.31.30,6694,socks5
124.156.194.52,8081,http
101.36.104.46,10808,socks5
93.184.9.9,1080,socks4
92.86.92.126,42740,socks4
43.156.84.41,10808,socks5
47.81.56.193,8888,http
154.18.255.121,1111,http
190.0.246.213,4040,http
103.66.46.54,69,socks5
196.64.98.213,1090,http
45.74.31.40,9255,socks5
84.242.51.241,4145,socks4
94.182.199.250,8080,socks4
146.190.60.147,8011,http
39.106.165.196,8080,http
222.128.173.38,8888,http
78.38.90.160,5678,socks4
123.121.122.28,8888,http
149.210.12.178,18080,http
159.255.164.163,1080,socks4
84.255.40.228,8998,http
154.90.48.254,2024,http
154.90.48.21,9090,http
85.104.3.232,3310,http
14.102.154.205,8080,http
47.121.139.13,3128,http
123.121.78.138,8888,http
123.113.148.188,8888,http
45.74.31.30,6770,socks5
114.252.15.106,8888,http
120.232.115.170,17981,http
171.221.240.100,10800,socks4
5.160.247.48,8443,socks4
45.90.236.68,3128,http
123.121.209.108,8888,http
123.119.177.72,8888,http
114.249.213.204,8888,http
103.163.80.157,8080,http
45.74.31.30,9222,socks5
24.55.20.6,3030,http
8.215.25.3,2080,socks4
59.152.97.233,1080,socks5
201.186.41.108,999,http
107.167.18.122,443,http
123.57.94.90,8888,http
87.107.146.209,8118,http
122.246.3.12,17981,http
45.74.31.42,14292,socks5
210.211.113.37,80,http
89.169.37.254,1080,socks5
43.167.240.38,8118,http
210.211.113.34,80,http
221.221.163.120,8888,http
180.195.99.168,8081,http
191.97.16.12,999,http
39.106.170.168,8080,http
178.215.236.16,1080,socks4
45.74.31.42,14193,socks5
113.57.120.47,5200,http
123.121.132.32,8888,http
221.221.159.97,8888,http
114.250.195.77,8888,http
49.229.36.211,4153,socks4
111.92.88.27,3128,http
193.33.157.148,8080,http
58.254.153.146,17981,http
114.244.223.68,8888,http
45.74.31.30,6935,socks5
47.176.213.210,39593,socks4
103.250.128.18,8082,http
74.62.23.242,39593,socks4
210.211.113.36,80,http
194.150.233.246,1077,socks4
45.74.31.30,27980,socks5
193.43.140.222,7890,http
62.60.216.109,3128,http
103.248.47.230,1080,socks5
103.167.156.82,1080,socks4
138.0.207.246,8082,http
45.74.31.42,4700,socks5
72.62.106.45,8080,http
111.200.188.89,8888,http
162.4.229.233,8080,http
159.195.194.242,1080,socks4
197.224.185.3,3128,http
96.9.88.130,4153,socks4
83.143.29.161,1080,socks4
115.231.181.40,8128,http
181.39.35.94,9100,http
47.107.107.24,80,http
177.131.118.123,5432,socks4
180.105.138.170,1080,http
14.225.204.32,10800,socks5
45.74.31.30,8818,socks5
119.188.131.55,17981,http
119.148.20.109,22122,socks5
45.74.31.30,8484,socks5
210.211.113.33,80,http
179.189.249.137,5432,socks4
